id_request,latitude,longitude
6c2438b3f52,-12.116813,-77.029152
298d95e8382,-12.115123,-77.04641
89426c50d8e,-12.115123,-77.04641
675c42afb93,-12.115232,-77.046684
3fe48d60311,-12.115123,-77.04641
47e5e4e6b2b,-12.155575,-77.016228
fc1dd08ba1b,-12.115123,-77.04641
43d0043b1f5,-12.119372,-77.030579
d49003b3089,-12.115123,-77.04641
71dd114e47f,-12.126287,-76.994652
b5922d22459,-12.06429,-77.094231
70b64644abf,-12.08369,-77.037599
af673f4bc67,-12.10386,-77.03039
3e496a96fc1,-12.118508,-77.006471
eee6f1d0eea,-12.118508,-77.006471
0d7de68588e,-12.126366,-77.009476
182f41a0663,-12.086838,-77.032684
e6e4c26e468,-12.086838,-77.032684
e750181546a,-12.126366,-77.009476
965d577009b,-12.126366,-77.009476
4c1d1b4367a,-12.086838,-77.032684
73a782fade8,-12.086838,-77.032684
0b331927a76,-12.126366,-77.009476
705a41bd2eb,-12.088114,-77.048119
aa25edcb4e2,-12.086838,-77.032684
f291b3cfadb,-12.126366,-77.009476
c4e4c2836d5,-12.126366,-77.009476
d71fca0dc8f,-12.086838,-77.032684
da86106d4ce,-12.086838,-77.032684
5d6804efe2b,-12.121016,-77.02269
79038f09be5,-12.126366,-77.009476
7fe81d6196f,-12.126366,-77.009476
11da9781f79,-12.086838,-77.032684
0d81b17f55e,-12.126366,-77.009476
cff95bab373,-12.086838,-77.032684
869fae5e451,-16.407138,-71.53904
415331d0b37,-16.417523,-71.512936
2c95a58b665,-16.406965,-71.539007
0a0887aaa38,-12.092985,-77.050366
ccfd31bcaa1,-12.092985,-77.050366
ed2811a874a,-12.093328,-77.050232
1a2faf4f497,-12.092985,-77.050366
493b7931eee,-12.09333,-77.050293
c7a0f523234,-12.100186,-77.062854
2261ca00f55,-12.055044,-77.093916
22feb7326f3,-12.054953,-77.093811
804cc60ccbd,-12.04584,-77.035564
c8d8d87163c,-12.112514,-77.028755
97fa94cab14,-12.154424,-76.990974
d67f83fa80f,-12.154441,-76.990784
a66003723fc,-12.146228,-76.98967
0f25817fdbd,-12.154335,-76.983265
d74757eef83,-12.139528,-76.995476
834c3d8b6a3,-12.113154,-76.991529
dbee785318f,-12.146228,-76.98967
1c6cd512d4e,-12.111536,-77.012636
739e5919e9e,-12.128127,-76.996124
4933a4c22d7,-12.353646,-76.811432
ab0f26b5496,-12.334601,-76.82785
806aaaa9f77,-12.12891,-76.989197
6ad7c45bba5,-12.353546,-76.81115
e5075a94389,-12.088429,-77.079636
a195737e32c,-12.088429,-77.079636
c278992e1c6,-12.088429,-77.079636
51946f21ede,-12.134245,-77.026176
194ec27e29b,-12.154821,-76.969019
ade00071033,-12.17519,-76.994035
3c2474e7cb9,-12.154814,-76.968994
3aff73278af,-12.13878,-76.958032
0593c82704d,-12.134307,-77.02613
02584e82b47,-12.134281,-77.026171
cfca0379b77,-12.154874,-76.96898
e5edb763fdf,-12.079663,-77.040229
b158f98b820,-12.154874,-76.96898
edaf22a341b,-12.127718,-76.988091
7636c0193ad,-12.127718,-76.988091
1a2450531e9,-12.122466,-77.028137
211dfc6cc0e,-12.049777,-77.080429
89a73a5141b,-12.069428,-77.039513
db35d1b12d1,-12.049777,-77.080429
b27a55ad23d,-12.064218,-76.960022
76500129990,-12.09904,-77.014068
0f5e8de757f,-12.09232,-77.054046
5ffaceb5255,-12.064971,-77.06942
56dc5d66f0b,-12.09245,-77.046721
5f0ad609eee,-12.064971,-77.06942
4cd9aec2ebe,-12.064971,-77.06942
ee11aeefead,-12.089451,-76.956728
39e587891c9,-12.089451,-76.956728
aea51e8c0d2,-12.094373,-77.077821
481bf43007e,-12.124717,-77.027779
713e14d04e9,-12.066343,-77.04467
bb882eaa6d0,-12.124717,-77.027779
50e278a1903,-12.066343,-77.04467
3978ae78289,-12.094469,-77.059563
c8de561f9e3,-12.066343,-77.04467
d9075ab7bce,-12.094331,-77.015612
5cb30c3d67f,-12.09009,-77.050186
2d8edc41bf4,-12.083252,-77.052045
